"region","year","min_percent_canopy_density","loss_ha","gain_ha"
"Arequipa",2005,25,16,8.41666666666667
"Arequipa",2005,30,16,8.41666666666667
"Arequipa",2005,50,13,8.41666666666667
"Arequipa",2005,75,9,8.41666666666667
"Arequipa",2006,10,0,8.41666666666667
"Arequipa",2006,15,0,8.41666666666667
"Arequipa",2006,20,0,8.41666666666667
"Arequipa",2006,25,0,8.41666666666667
"Arequipa",2006,30,0,8.41666666666667
"Arequipa",2006,50,0,8.41666666666667
"Arequipa",2006,75,0,8.41666666666667
"Arequipa",2007,10,3,8.41666666666667
"Arequipa",2007,15,3,8.41666666666667
"Arequipa",2007,20,3,8.41666666666667
"Arequipa",2007,25,3,8.41666666666667
"Arequipa",2007,30,3,8.41666666666667
"Arequipa",2007,50,3,8.41666666666667
"Arequipa",2007,75,2,8.41666666666667
"Arequipa",2008,10,3,8.41666666666667
"Arequipa",2008,15,3,8.41666666666667
"Arequipa",2008,20,3,8.41666666666667
"Arequipa",2008,25,3,8.41666666666667
"Arequipa",2008,30,3,8.41666666666667
"Arequipa",2008,50,3,8.41666666666667
"Arequipa",2008,75,2,8.41666666666667
"Arequipa",2009,10,3,8.41666666666667
"Arequipa",2009,15,3,8.41666666666667
"Arequipa",2009,20,3,8.41666666666667
"Arequipa",2009,25,3,8.41666666666667
"Arequipa",2009,30,3,8.41666666666667
"Arequipa",2009,50,3,8.41666666666667
"Arequipa",2009,75,2,8.41666666666667
"Arequipa",2010,10,6,8.41666666666667
"Arequipa",2010,15,6,8.41666666666667
"Arequipa",2010,20,6,8.41666666666667
"Arequipa",2010,25,6,8.41666666666667
"Arequipa",2010,30,6,8.41666666666667
"Arequipa",2010,50,6,8.41666666666667
"Arequipa",2010,75,5,8.41666666666667
"Arequipa",2011,10,5,8.41666666666667
"Arequipa",2011,15,5,8.41666666666667
"Arequipa",2011,20,5,8.41666666666667
"Arequipa",2011,25,5,8.41666666666667
"Arequipa",2011,30,5,8.41666666666667
"Arequipa",2011,50,5,8.41666666666667
"Arequipa",2011,75,3,8.41666666666667
"Arequipa",2012,10,3,8.41666666666667
"Arequipa",2012,15,3,8.41666666666667
"Arequipa",2012,20,3,8.41666666666667
"Arequipa",2012,25,3,8.41666666666667
"Arequipa",2012,30,3,8.41666666666667
"Arequipa",2012,50,2,8.41666666666667
"Arequipa",2012,75,2,8.41666666666667
"Ayacucho",2000,10,0,0
"Ayacucho",2000,15,0,0
"Ayacucho",2000,20,0,0
"Ayacucho",2000,25,0,0
"Ayacucho",2000,30,0,0
"Ayacucho",2000,50,0,0
"Ayacucho",2000,75,0,0
"Ayacucho",2001,10,786,70
